,category,id
0,Film & Animation,1
1,Autos & Vehicles,2
2,Music,10
3,Pets & Animals,15
4,Sports,17
5,Short Movies,18
6,Travel & Events,19
7,Gaming,20
8,Videoblogging,21
9,People & Blogs,22
10,Comedy,23
11,Entertainment,24
12,News & Politics,25
13,Howto & Style,26
14,Education,27
15,Science & Technology,28
16,Nonprofits & Activism,29
17,Movies,30
18,Anime/Animation,31
19,Action/Adventure,32
20,Classics,33
21,Comedy,34
22,Documentary,35
23,Drama,36
24,Family,37
25,Foreign,38
26,Horror,39
27,Sci-Fi/Fantasy,40
28,Thriller,41
29,Shorts,42
30,Shows,43
31,Trailers,44
